sampleA,sampleB,snp_distance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
hcw#1,hcw#29,2,-5.971648261,-4.372794186,-3.433681718,-2.859511591,-2.52445148,-2.355451638,-2.303513925,-2.333623463,-2.420543217,-2.54657946,-2.699875195,-2.872824961,-3.06066709,-3.260392737,-3.470012369,-3.688118142,-3.913644169,-4.145740464,-4.383705776,-4.626949263,-4.874966334
hcw#1,CARE0141#1,3,-6.532753302,-4.900493654,-3.920858419,-3.298116235,-2.905972841,-2.671713572,-2.54767243,-2.501060792,-2.509313999,-2.557249218,-2.634888804,-2.735719556,-2.855402496,-2.990914155,-3.140027057,-3.301014563,-3.472486236,-3.653293134,-3.8424694,-4.039193176,-4.242758564
hcw#1,CARE0063#3,1,-5.546481131,-3.975020819,-3.069313924,-2.535666565,-2.249178511,-2.137261951,-2.150583665,-2.252796632,-2.416437563,-2.621140353,-2.852537112,-3.101143026,-3.361104169,-3.628989006,-3.902822625,-4.181435128,-4.464079422,-4.750230071,-5.03948478,-5.331517313,-5.626054095
hcw#1,CARE0114#1,2,-5.971648261,-4.372794186,-3.433681718,-2.859511591,-2.52445148,-2.355451638,-2.303513925,-2.333623463,-2.420543217,-2.54657946,-2.699875195,-2.872824961,-3.06066709,-3.260392737,-3.470012369,-3.688118142,-3.913644169,-4.145740464,-4.383705776,-4.626949263,-4.874966334
hcw#1,hcw#32,5,-8.089495577,-6.368141105,-5.28285053,-4.537765637,-4.008259387,-3.625175512,-3.345746647,-3.142367437,-2.996863472,-2.897023529,-2.834384912,-2.802842486,-2.797804708,-2.81569137,-2.853631651,-2.909275406,-2.980668636,-3.066166778,-3.16437165,-3.274084148,-3.394267952
hcw#1,CARE0154#1,1,-5.358471643,-3.828391487,-2.961477015,-2.463348552,-2.208356468,-2.123205634,-2.158064192,-2.276479514,-2.451385696,-2.663263914,-2.898827375,-3.149637554,-3.410663848,-3.679021074,-3.953048061,-4.231734039,-4.514404387,-4.800563698,-5.089821119,-5.381854454,-5.676391461
hcw#1,CARE0063#4,1,-5.171403882,-3.684390908,-2.857585256,-2.395826435,-2.172637459,-2.113992089,-2.169629081,-2.303164573,-2.48816843,-2.706187442,-2.945140449,-3.197650396,-3.45945423,-3.72813775,-4.002291131,-4.281022571,-4.563708184,-4.849872302,-5.139131149,-5.431164884,-5.725701997
hcw#1,hcw#33,5,-7.915952423,-6.247869141,-5.204893844,-4.491131475,-3.982988152,-3.613220499,-3.341347882,-3.141872705,-2.998211431,-2.899170171,-2.836851316,-2.805427827,-2.800431368,-2.8183315,-2.856275918,-2.911920875,-2.983314437,-3.068812665,-3.167017559,-3.276730062,-3.396913867
hcw#1,CARE0162#1,1,-5.171403882,-3.684390908,-2.857585256,-2.395826435,-2.172637459,-2.113992089,-2.169629081,-2.303164573,-2.48816843,-2.706187442,-2.945140449,-3.197650396,-3.45945423,-3.72813775,-4.002291131,-4.281022571,-4.563708184,-4.849872302,-5.139131149,-5.431164884,-5.725701997
hcw#1,CARE0114#2,2,-5.468922432,-3.990455689,-3.16042867,-2.681560033,-2.425847262,-2.319000778,-2.312286283,-2.372633263,-2.477998428,-2.614270832,-2.772739819,-2.948080078,-3.13693776,-3.337062437,-3.546827919,-3.764983544,-3.990525579,-4.222626723,-4.460593426,-4.703837291,-4.95185446
hcw#1,hcw#34,2,-5.306812785,-3.871267057,-3.079219871,-2.632412553,-2.402146765,-2.314002768,-2.319843281,-2.387812932,-2.497344647,-2.635668627,-2.795051685,-2.970762877,-3.159758637,-3.359930787,-3.569711434,-3.787871586,-4.013414889,-4.245516369,-4.483483154,-4.72672704,-4.974744213
hcw#1,CARE0178#1,0,-4.433703371,-3.070861551,-2.368734544,-2.031801105,-1.9329011,-1.996919406,-2.172118726,-2.420446965,-2.713969551,-3.033253629,-3.365928896,-3.704923572,-4.046628187,-4.389393463,-4.732539903,-5.075812896,-5.419124936,-5.762448231,-6.10577457,-6.449101684,-6.792428986
hcw#1,CARE0063#5,1,-4.800586387,-3.4053122,-2.662913652,-2.276331575,-2.117206329,-2.110084093,-2.204261652,-2.364252845,-2.565753888,-2.793068639,-3.036753135,-3.291446373,-3.554168941,-3.823207409,-4.097487531,-4.37626105,-4.658959723,-4.945127648,-5.234387541,-5.526421548,-5.820958728
hcw#1,hcw#35,4,-6.902917562,-5.325436636,-4.376576684,-3.758904576,-3.346724974,-3.070599716,-2.88828281,-2.773240784,-2.708566221,-2.683235784,-2.689771909,-2.722842502,-2.778457303,-2.853512085,-2.945522727,-3.052460729,-3.172644395,-3.304662626,-3.44731928,-3.599591397,-3.760597196
hcw#1,CARE0187#1,5,-7.702469245,-6.110494664,-5.123424318,-4.447221259,-3.961949869,-3.60475601,-3.339128933,-3.14246903,-2.999966702,-2.901364166,-2.839199047,-2.807825726,-2.80284459,-2.820749124,-2.858694736,-2.91434,-2.985733636,-3.071231882,-3.169436779,-3.279149284,-3.399333088
hcw#1,CARE0063#6,1,-4.61713992,-3.270845635,-2.572853899,-2.224962063,-2.097776998,-2.11524033,-2.226782273,-2.397877074,-2.605752864,-2.83634567,-3.081544217,-3.336869437,-3.599832218,-3.868954462,-4.14326158,-4.422043187,-4.704744124,-4.990912644,-5.280172684,-5.572206726,-5.866743914
hcw#1,CARE0198#1,5,-7.644740162,-6.076225589,-5.104981097,-4.43835569,-3.958251684,-3.603543637,-3.338988191,-3.142745481,-3.000391061,-2.901836658,-2.83968602,-2.808316749,-2.803336674,-2.821241468,-2.85918714,-2.914832417,-2.986226056,-3.071724302,-3.1699292,-3.279641705,-3.399825509
hcw#1,CARE0197#1,4,-6.619429362,-5.137541491,-4.262174099,-3.696394715,-3.31745138,-3.060490925,-2.888104435,-2.777699669,-2.714988352,-2.690416967,-2.69722308,-2.730382622,-2.786024728,-2.86108736,-2.953100126,-3.060038671,-3.180222468,-3.312240729,-3.454897389,-3.607169508,-3.768175307
hcw#1,hcw#39,1,-4.255161738,-3.013942954,-2.409357307,-2.140486063,-2.075852601,-2.138818313,-2.280288228,-2.468979887,-2.686061585,-2.920946732,-3.167939919,-3.423943567,-3.687140237,-3.956336606,-4.230665471,-4.509453019,-4.792155476,-5.078324361,-5.367584485,-5.659618544,-5.954155736
hcw#1,hcw#40,3,-5.60903388,-4.241550347,-3.483769704,-3.035909793,-2.7719146,-2.624134023,-2.553533648,-2.537104366,-2.560954002,-2.616286955,-2.697162068,-2.799304352,-2.919482537,-3.055169242,-3.204340306,-3.365346049,-3.536823137,-3.717631561,-3.906808236,-4.103532118,-4.307097531
hcw#1,hcw#41,3,-5.724572978,-4.317359256,-3.528618565,-3.058716281,-2.78061897,-2.624819186,-2.550180289,-2.531944479,-2.555071105,-2.610142824,-2.690931954,-2.793048247,-2.913219165,-3.04890398,-3.198074584,-3.359080222,-3.530557287,-3.711365707,-3.900542381,-4.097266263,-4.300831676
